Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Rubén García,es ESP,"FW,MF",Osasuna,La Liga,28,1993,26.4,891,1247,71.5,16474,5375,437,518,84.4,300,394,76.1,132,265,49.8,6,3.4,+2.6,54,56,50,19,99,Matches
Jesús Corona,mx MEX,"FW,DF",Sevilla,La Liga,28,1993,12.9,476,612,77.8,7746,1722,265,301,88,150,189,79.4,45,86,52.3,4,3.3,+0.7,23,23,16,6,32,Matches
Branimir Hrgota,se SWE,FW,Greuther Fürth,Bundesliga,28,1993,30.9,536,747,71.8,8971,2495,274,352,77.8,176,235,74.9,59,91,64.8,5,3.2,+1.8,33,42,25,5,76,Matches
Borja Iglesias,es ESP,FW,Betis,La Liga,28,1993,17.5,242,340,71.2,3672,542,137,180,76.1,70,92,76.1,19,34,55.9,0,3.1,-3.1,16,8,12,1,18,Matches
Romelu Lukaku,be BEL,FW,Chelsea,Premier League,28,1993,17.7,234,320,73.1,2993,430,151,185,81.6,56,82,68.3,10,17,58.8,0,3,-3,21,7,9,0,16,Matches
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28,1993,32.8,1334,1635,81.6,25609,6758,534,603,88.6,566,644,87.9,205,308,66.6,2,2.9,-0.9,30,127,19,6,137,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,Ligue 1,28,1993,17,490,738,66.4,9998,3046,206,262,78.6,184,251,73.3,93,189,49.2,2,2.9,-0.9,32,54,15,5,54,Matches
Elba Rashani,xk KVX,"FW,MF",Clermont Foot,Ligue 1,28,1993,19.5,440,571,77.1,6336,1517,270,308,87.7,137,179,76.5,20,38,52.6,3,2.8,+0.2,14,25,11,6,31,Matches
Marco Verratti,it ITA,MF,Paris S-G,Ligue 1,28,1992,21.5,1965,2141,91.8,32664,8717,998,1056,94.5,734,785,93.5,180,221,81.4,2,2.7,-0.7,29,173,45,1,155,Matches
Darwin Machís,ve VEN,"MF,FW",Granada,La Liga,28,1993,15.3,292,437,66.8,5678,1812,132,155,85.2,96,142,67.6,56,106,52.8,2,2.6,-0.6,19,31,19,12,33,Matches
Silvan Widmer,ch SUI,DF,Mainz 05,Bundesliga,28,1993,32.4,1075,1498,71.8,19097,8580,479,562,85.2,469,631,74.3,107,257,41.6,5,2.6,+2.4,20,81,25,12,108,Matches
